antecedents_str,consequents_str,support,confidence,lift,quarter
WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,0.016783420899007587,0.6149732620320856,16.144815292888318,1
WOOD S/3 CABINET ANT WHITE FINISH,WOOD 2 DRAWER CABINET WHITE FINISH,0.016783420899007587,0.44061302681992337,16.144815292888318,1
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.04173963806187974,0.7467362924281984,4.560282598679158,1
PLEASE ONE PERSON METAL SIGN,GIN + TONIC DIET METAL SIGN,0.020577933450087564,0.38315217391304346,8.102958937198068,1
GIN + TONIC DIET METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.020577933450087564,0.4351851851851852,8.102958937198068,1
LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,0.01926444833625219,0.44594594594594594,9.401912681912682,1
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,0.01926444833625219,0.40615384615384614,9.401912681912682,1
LUNCH BAG WOODLAND,LUNCH BAG  BLACK SKULL.,0.01795096322241681,0.4155405405405405,8.181849953401677,1
LUNCH BAG  BLACK SKULL.,LUNCH BAG WOODLAND,0.01795096322241681,0.35344827586206895,8.181849953401677,1
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.01838879159369527,0.3631123919308357,8.405561180777319,1
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.01838879159369527,0.42567567567567566,8.405561180777319,1
HAND OVER THE CHOCOLATE   SIGN,GIN + TONIC DIET METAL SIGN,0.01780502043199066,0.4357142857142857,9.214550264550265,1
GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.01780502043199066,0.3765432098765432,9.214550264550265,1
HAND OVER THE CHOCOLATE   SIGN,COOK WITH WINE METAL SIGN,0.017513134851138354,0.42857142857142855,10.450432130147432,1
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.017513134851138354,0.42704626334519574,10.450432130147433,1
PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.01838879159369527,0.3423913043478261,8.378804347826087,1
HAND OVER THE CHOCOLATE   SIGN,PLEASE ONE PERSON METAL SIGN,0.01838879159369527,0.45,8.378804347826087,1
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG STRAWBERRY,0.01780502043199066,0.4,8.538317757009347,1
JUMBO BAG STRAWBERRY,JUMBO  BAG BAROQUE BLACK WHITE,0.01780502043199066,0.38006230529595014,8.538317757009345,1
JUMBO STORAGE BAG SUKI,JUMBO  BAG BAROQUE BLACK WHITE,0.015178050204319907,0.31044776119402984,6.9743870809885005,1
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO STORAGE BAG SUKI,0.015178050204319907,0.3409836065573771,6.9743870809885005,1
JUMBO BAG STRAWBERRY,JUMBO BAG PINK VINTAGE PAISLEY,0.016929363689433742,0.36137071651090347,9.17078573901004,1
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG STRAWBERRY,0.016929363689433742,0.4296296296296297,9.17078573901004,1
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.018534734384121423,0.37352941176470583,6.6306309052118255,1
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.018534734384121423,0.3290155440414508,6.6306309052118255,1
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.01649153531815528,0.3323529411764706,6.678247369328963,1
PACK OF 60 PINK PAISLEY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.01649153531815528,0.3313782991202346,6.678247369328963,1
SET OF 3 HEART COOKIE CUTTERS,SET OF 3 BUTTERFLY COOKIE CUTTERS,0.017221249270286048,0.33618233618233617,11.812930089853166,1
SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,0.017221249270286048,0.6051282051282052,11.812930089853168,1
JUMBO STORAGE BAG SUKI,JUMBO BAG STRAWBERRY,0.017221249270286048,0.3522388059701492,7.518817129306737,1
JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,0.017221249270286048,0.36760124610591904,7.518817129306738,1
JUMBO BAG RED WHITE SPOTTY,JUMBO BAG STRAWBERRY,0.016053706946876824,0.3353658536585366,7.158650558468202,1
JUMBO BAG STRAWBERRY,JUMBO BAG RED WHITE SPOTTY,0.016053706946876824,0.34267912772585674,7.158650558468202,1
PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX,0.01590776415645067,0.5647668393782384,17.510327526785925,1
PINK CREAM FELT CRAFT TRINKET BOX,PINK BLUE FELT CRAFT TRINKET BOX,0.01590776415645067,0.4932126696832579,17.51032752678592,1
