antecedents_str,consequents_str,support,confidence,lift,quarter
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.015354788677782087,0.3859649122807018,12.99482387430718,4
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.015354788677782087,0.5169712793733682,12.99482387430718,4
CHRISTMAS CRAFT WHITE FAIRY,CHRISTMAS CRAFT LITTLE FRIENDS,0.01636293136874758,0.5861111111111111,16.870318700396826,4
CHRISTMAS CRAFT LITTLE FRIENDS,CHRISTMAS CRAFT WHITE FAIRY,0.01636293136874758,0.4709821428571429,16.870318700396826,4
SCOTTIE DOG HOT WATER BOTTLE,CHOCOLATE HOT WATER BOTTLE,0.025979061651803026,0.337361530715005,4.54099889203548,4
CHOCOLATE HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.025979061651803026,0.34968684759916496,4.54099889203548,4
PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX,0.01814656843737883,0.574938574938575,15.068766105351473,4
PINK CREAM FELT CRAFT TRINKET BOX,PINK BLUE FELT CRAFT TRINKET BOX,0.01814656843737883,0.475609756097561,15.068766105351473,4
RED WOOLLY HOTTIE WHITE HEART.,SCOTTIE DOG HOT WATER BOTTLE,0.016207832493214423,0.3322734499205087,4.3148702283232225,4
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.03481969755719271,0.4994438264738599,6.7226807331737195,4
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.03481969755719271,0.4686847599164927,6.7226807331737195,4
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.03792167506785576,0.31856677524429966,5.761456615393049,4
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.03792167506785576,0.6858345021037868,5.761456615393049,4
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.015820085304381542,0.4331210191082802,12.57904401216503,4
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.015820085304381542,0.4594594594594594,12.57904401216503,4
WOODEN FRAME ANTIQUE WHITE,WHITE HANGING HEART T-LIGHT HOLDER,0.016595579682047307,0.3525535420098847,2.9616794294576305,4
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,0.01830166731291198,0.46732673267326735,16.155973774321133,4
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.01830166731291198,0.6327077747989276,16.155973774321133,4
VINTAGE HEADS AND TAILS CARD GAME,VINTAGE SNAP CARDS,0.020085304381543233,0.5395833333333333,11.240593026386644,4
VINTAGE SNAP CARDS,VINTAGE HEADS AND TAILS CARD GAME,0.020085304381543233,0.4184168012924071,11.240593026386644,4
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.01876696393951144,0.47450980392156866,6.798671023965142,4
