antecedents_str,consequents_str,support,confidence,lift,quarter
LUNCH BAG RED SPOTTY,LUNCH BAG  BLACK SKULL.,0.016117810760667903,0.3696808510638298,5.331317156479044,3
LUNCH BAG RED SPOTTY,LUNCH BAG WOODLAND,0.015074211502782932,0.34574468085106386,6.426082171680118,3
LUNCH BAG RED SPOTTY,LUNCH BAG CARS BLUE,0.016697588126159554,0.3829787234042553,5.684696231735452,3
LUNCH BAG RED SPOTTY,LUNCH BAG SPACEBOY DESIGN,0.015885899814471242,0.3643617021276596,5.611170212765958,3
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.02945269016697588,0.4990176817288801,8.181613093592894,3
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.02945269016697588,0.48288973384030415,8.181613093592894,3
HEART OF WICKER SMALL,WHITE HANGING HEART T-LIGHT HOLDER,0.01948051948051948,0.33005893909626716,2.6331436547328475,3
BAKING SET 9 PIECE RETROSPOT,BAKING SET SPACEBOY DESIGN,0.016349721706864564,0.3596938775510204,15.587939698492463,3
BAKING SET SPACEBOY DESIGN,BAKING SET 9 PIECE RETROSPOT,0.016349721706864564,0.7085427135678393,15.587939698492464,3
RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX,0.015306122448979591,0.4631578947368421,22.82442105263158,3
BLUE HARMONICA IN BOX,RED  HARMONICA IN BOX,0.015306122448979591,0.7542857142857142,22.82442105263158,3
WOODEN FRAME ANTIQUE WHITE,WHITE HANGING HEART T-LIGHT HOLDER,0.01855287569573284,0.3389830508474576,2.704338418601734,3
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.03455473098330241,0.6651785714285714,12.153601694915253,3
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.03455473098330241,0.6313559322033898,12.153601694915253,3
WOODEN PICTURE FRAME WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER,0.019596474953617812,0.37723214285714285,3.009481961147086,3
TOILET METAL SIGN,BATHROOM METAL SIGN,0.017277365491651205,0.768041237113402,23.82585478009345,3
BATHROOM METAL SIGN,TOILET METAL SIGN,0.017277365491651205,0.5359712230215827,23.82585478009345,3
